query,intent
is the meatloaf still good to eat i ve had it in the refrigerator since last monday,food_last
when do i need an oil change,oil_change_when
do you know when i need to pay my mastercard,bill_due
book a flight from bangor to las vegas on may 1st and returning july 4th,book_flight
good speaking to you,goodbye
remind me to check the steak,reminder_update
how can i unfreeze my bank account,account_blocked
what s the current apr on my credit card,apr
tell me my bank routing number,routing
please book a hotel in ny close to brooklyn on the 25th to 30th,book_hotel
if i were english how would i say subway,translate
how long to reheat chinese food,cook_time
can you help me switch insurance plans,insurance_change
i d like to add pancake mix to my shopping list if it s not already there,shopping_list_update
i m exploring a possible cycle flight from yyz to dublin for w to aug two,book_flight
what is that tune,what_song
what is the credit limit on my discover card,credit_limit
how long does it usually take for a new credit card to come,replacement_card_duration
i wanna know where the w2 is,w2
read my calendar for march 7th,calendar
what is the reason i am locked out of my bank account,account_blocked
you need to change your accent to the male british one,change_accent
whom do you work for,who_do_you_work_for
can you please sat it one more time,repeat
add my spa appointment on the 12th to my calendar,calendar_update
would i need to buy a plug converter when in rome,plug_type
how long is a bus ride to staples,distance
i wanna know five dollars in yen and rubles,exchange_rate
what is the city mpg for this car,mpg
which timezone is france in,timezone
what are puffins,out_of_scope
what are the new player rankings for the nhl,out_of_scope
what is the date i get paid,payday
tell me the title of the song playing,what_song
i want to know the meaning of life,meaning_of_life
remind me tommorow at 3pm i have a doctors appointment,reminder_update
please tell me my in person transactions for the last three days using my debit card,transactions
are shots needed for uk travel,vaccines
can i have my credit limit changed,credit_limit_change
when is it imperative that i get my tires changed,tire_change
do i have enough in my chase account for a plane ticket,balance
what kind of things can you help with,what_can_i_ask_you
who do you think i am,user_name
how do i sign up for a new credit card,new_card
what is the definition of succumb,definition
share with current location with ben,share_location
tell me where you were created,where_are_you_from
which day will it be five days from now,date
is there traffic on the way to work,traffic
tell the bank i will be traveling internationally soon,travel_notification
my card got declined why,card_declined
i want to change your name please,change_ai_name
shut up ,cancel
select a new language,change_language
would you freeze my bank account,freeze_account
what s the tire pressure of my tires,tire_pressure
i want a text sent to bob saying i will be late,text
the tasks for today what are they,todo_list
how long do i cook the chicken roast,cook_time
can you transfer 5 from savings to checking,transfer
abort it,cancel
can you please read me the routing number to pnc,routing
why can t you divide by zero,out_of_scope
are you from europe,where_are_you_from
is it okay to change your name to samson,change_ai_name
date please,date
call my friend aj,make_call
why was my card declined for my monthly netflix subscription payment,card_declined
what items did i want to remember,reminder
use a different accent,change_accent
where do i go to find the interest rate on my savings account,interest_rate
can i ask you all different types of questions,what_can_i_ask_you
when should i replace my tires sense i last replaced them on 3 21 17,tire_change
what can i make for dinner,meal_suggestion
looking at this week only have i overspent on hoagies,spending_history
can you reserve a meeting space for 4 00 on thursday,schedule_meeting
could you cancel my reservation for winters at the palace tonight,cancel_reservation
i would appreciate it if you could talk to me in french,change_language
are there any new job postings in my area in the last hour for jobs on craigslist,out_of_scope
show me the international transactions fees for the zenith card,international_fees
call erryn,make_call
can you set a reminder for the current time tommorow,reminder_update
where can i check my credit rating,credit_score
what do i do with a damaged credit card,damaged_card
what time is it now,time
what s the direction for foot traffic to get to the eiffel tower,directions
what is slope of an inverted line,out_of_scope
my credit card snapped in half while i was fiddling with it,damaged_card
look up the rate of exchange between pesos and usd,exchange_rate
i was at walmart today and my card got declined when i went to buy qtips,card_declined
can i maybe apply for a new card,new_card
what is the weather doing in austin,weather
tell me the subject areas you are familiar with,what_can_i_ask_you
can you help me unlock my bank account,account_blocked
diy oil change and oil type,oil_change_how
what are the benefits of having this insurance,insurance
what type of gas does this car take,gas_type
erase any event on my calendar that s set for wednesday of next week,calendar_update
what are the weather conditions in seattle,weather
can you change the way you talk to a male british voice,change_accent
how can i create a meeting,schedule_meeting
which kinds of info are you familiar with,what_can_i_ask_you
what s the right spelling of rambunctious,spelling
what s the smallest amount i can pay on the water bill,min_payment
estimated time to airport from current location la,distance
can you help me deal with this fraudulent transaction from verizon on my account,report_fraud
what is in my bank accounts,balance
i would like to change my insurance policy,insurance_change
i m feeling like a greek meal and need some suggestions,meal_suggestion
how many dollars is 20 yen worth,exchange_rate
give me my wallet location,out_of_scope
how much do i have to pay this month,bill_balance
where were your born,where_are_you_from
what are the steps required for making a vacation request,pto_request
will i need immunization for a trip to turkey,vaccines
yes that is a fact,yes
what did i tell you to call me,user_name
check the status of my credit card application for me,application_status
where can i find the cruise control on my kia sportage 2010,out_of_scope
show me all new transactions,transactions
can you help me with anything i need,what_can_i_ask_you
aquire me them kyrie 4s,order
get happy on my rb playlist,update_playlist
let the folks know my gps coordinates,share_location
how good are the ratings for olive garden,restaurant_reviews
can you explain my benefits,insurance
how to keep my credit from dropping,improve_credit_score
can you please the timer,timer
during what month will my card s expiration date fall on,expiration_date
how can i redeem my credit card points,redeem_rewards
how much do i owe on all of my bills,bill_balance
tell me a joke if you d like to,tell_joke
where did you used to live,where_are_you_from
show me a list of top rated airlines,out_of_scope
i lost my phone,find_phone
tell me about my income this week,income
my list of reminders is what,reminder
what s my irs bill going to look like,taxes
i need you to flip a coin so i can decide,flip_coin
safety concerns for malaysia,travel_alert
i want to know some trivia about our solar system,fun_fact
how do you say good bye in french,translate
would you play my maroon 5 playlist,play_music
add coming undone by korn to my playlist,update_playlist
i used the last check so i want you to help me order more,order_checks
my 401k can i roll it over,rollover_401k
i want to go to china but am not sure if i need an international visa,international_visa
is it possible to increase the credit limit on my mastercard,credit_limit_change
i need to redeem my visa points,redeem_rewards
it could be that one or the other one,maybe
what steps can i take to build my credit score,improve_credit_score
later,goodbye
change your name to something funny,change_ai_name
can you tell me britain s timezone,timezone
i want my paycheck to go directly to my bank account,direct_deposit
i forget how to spell xylophone,spelling
who is your superior,who_do_you_work_for
what oil do i need for my honda crv and how do i change it,oil_change_how
i think there s a fraudulent transaction on my account,report_fraud
is there a reason my card was declined,card_declined
how can i spell avocado,spelling
i want to know when i was last paid,payday
what do you do with your free time,what_are_your_hobbies
inform me how many pounds are in 10 kilos,measurement_conversion
see you later alligator,goodbye
what are the nutrition facts for carrots,nutrition_info
tell me my car s gas mileage please,mpg
is respond to the professor s email on my list of reminders,reminder
tell me what 1875 plus 3459 equals,calculator
can you play the song that sounds like thun thun thun,play_music
tell me once more,repeat
how long would it take to get to times square by bus,distance
reserve a table at tropicana for 5 people under the name martins for 8pm,restaurant_reservation
how to cancel,cancel
i need a pto request put in for the weekend of june 1st to june 2nd,pto_request
where was it you were born,where_are_you_from
order a disney gift card in the amount of five hundred dollars from costco,order
what is my credit limit on my discover,credit_limit
define my health benefits,insurance
that is not false,yes
between october 7th and october 10th i d like for there to be a pto request for me,pto_request
let me know what song is playing,what_song
could you schedule car maintenance for me,schedule_maintenance
about how much did i spend recently,spending_history
i want the volume at level 4,change_volume
how many centimeters are in 4 inches,measurement_conversion
i d like you to pair with my phone,sync_device
what types of things do you know,what_can_i_ask_you
i m having trouble scheduling a meeting,schedule_meeting
give me the date of my last oil change,last_maintenance
i need my checking account s interest rate,interest_rate
i want to know if pizza is healthy,nutrition_info
let me know who is your boss,who_do_you_work_for
i would like to change your language from portuguese to italian,change_language
did i go out to eat more than usual,spending_history
what is the caloric total in these muffins,calories
enjoy your day goodbye,goodbye
please respond to me in spanish,change_language
how percentage am i earning annually on my account,interest_rate
what s a fun fact about mythology,fun_fact
can you find the exact amount i pay income taxes,taxes
go ahead and give me a suggestion for what to make for dinner,meal_suggestion
have my goods been delivered yet,order_status
i am requesting pto for march 2 and 3,pto_request
find out how many latin scholars there are at the university of chicago,out_of_scope
please put my account on hold,freeze_account
who should i call for a w2,w2
hello ai,greeting
how much is 100 dollars in euros,exchange_rate
when do i have to pay my electric bill by,bill_due
ignore the previous command,cancel
does denim go with anything,out_of_scope
is new this a good insurance plan for me,insurance_change
what are some popular tourist activities in mexico city,travel_suggestion
i want to make an alarm,alarm
has my package been sent,order_status
i need to know how to change oil in a car,oil_change_how
help me find my phone,find_phone
who is the oscar who the oscar s is named after,out_of_scope
how do i say hello in french,translate
how long do i ve got until my discovery card expires,expiration_date
how does my current htc phone compare to other android phones,out_of_scope
are you employed by someone,who_do_you_work_for
i would like to know what type of things you can help me with,what_can_i_ask_you
can you tell me the square root of pi,calculator
i d like to take a vacation day from 2 24 to 2 25,pto_request
how much time is left until we get there,distance
tell me if i am able to rollover my 401k,rollover_401k
what s the total of my bank accounts,balance
how healthy are potato skins,nutrition_info
i want you to be in whisper mode now because i am in the library,whisper_mode
can you set a timer,timer
help me modify my insurance policy,insurance_change
where can i find the best divorce lawyer,out_of_scope
what is the credit limit for my usaa card,credit_limit
why was my card declined,card_declined
do i need an international visa to go to mexico,international_visa
report my lost visa card,report_lost_card
what are the reviews like for l auberge aubergine,restaurant_reviews
can you cancel that request please,cancel
do people like the food at wendy s,restaurant_reviews
please order me a 7lb bag of world s best cat litter from targetcom,order
is my day off request still pending,pto_request_status
what is the definition of altruism,definition
what shall i do now that my battery is dead,jump_start
how much is my electricity bill costing me,bill_balance
what time is my flight going to land,flight_status
send mike my exact location,share_location
when was my last paycheck,payday
what s the total of days i ve taken for me time so far,pto_used
how should i proceed if my car won t start and i think it s the battery,jump_start
ai what do people call you,what_is_your_name
tell me how to spent frightened,spelling
i need you to act swiftly and freeze all activity on my capital one checking,freeze_account
what timezone does bangor have,timezone
find out what the maximum memory size is that i can buy in a dvd,out_of_scope
how many dollars can i exchange for 200 euros,exchange_rate
how many calories are in a serving of deans french onion dip,calories
how much to i have left on my visa card limit,credit_limit
what languages can i switch to for your responses,change_language
unfortunately my card is damaged and unusable,damaged_card
i need an uber to the movies for me and 5 other people,uber
how is the weather in austin,weather
can you add an event to my calendar,calendar_update
let s go to the next song please,next_song
do you charge me if i use my card in japan,international_fees
help me get access to my recent transaction history,transactions
what s the balance in my checking,balance
will i need a plug converter for my electronics in amman,plug_type
stop this process,cancel
what gas does this car take,gas_type
today is which day of the week,date
when to change my oil,oil_change_when
what s today s weather going to be,weather
tell me how handkerchief is spelled,spelling
i wanna flip a coin,flip_coin
you can remove the field trip from my calendar for march 12 2019,calendar_update
can you give me a meal suggestion from the south,meal_suggestion
what is the temp right now,weather
check who s at the door,smart_home
oil changes are typical done when,oil_change_when
do i need specific shots before traveling to germany,vaccines
was my car in the shop this past week,last_maintenance
please do a dice roll,roll_dice
what plugs are used in spain,plug_type
may you please say that again,repeat
i m leaving for montreal tomorrow and need to let my bank know,travel_notification
by bus how long would it take to get to detroit,distance
what are my bills this month,bill_balance
what makes life have any meaning,meaning_of_life
does one need a visa to go there,international_visa
how many calories in meatloaf,calories
tell me when to get my tires changed,tire_change
how can i tell what the interest rate on my money market account is,interest_rate
are you able to tack my package,order_status
i need an alarm,alarm
is it okay to substitute oregano for basil,ingredient_substitution
what s fun to do in thailand,travel_suggestion
cancel the reservation i made for 8 pm at black rock,cancel_reservation
i need to get my tired checked at one of the location,schedule_maintenance
how many days does it take to receive a new card,replacement_card_duration
can you flip a coin i pick heads,flip_coin
tell me minimum to pay on landscape bill,min_payment
is butter ok to use instead of oil,ingredient_substitution
ai stop talking,cancel
erase all voicemails in my inbox please,out_of_scope
i want a hotel booked in salem near the concert hall from the first to the second,book_hotel
please use male voice instead,change_accent
what is my ac set to right now,smart_home
find something fun for me to do in dallas,travel_suggestion
when is next month s cable bill due,bill_due
where could i find forms to get my w2,w2
do i need a visa to travel to isreal,international_visa
when am i next having a meeting in december,calendar
can you tell me where i left my phone,find_phone
what is the day off request status if you could tell me,pto_request_status
i need to make sure there is a reservation for george at connor oneil s,confirm_reservation
is there a way to tell when i need my oil changed,oil_change_when
read my appointments for march 2,calendar
what steps can i take to make sure my credit score doesn t go down,improve_credit_score
regards,goodbye
can you help me find my cell,find_phone
could you tell me where did you originate,where_are_you_from
that checks out,yes
make sure april 1 is clear on my calendar,calendar_update
set a timer,timer
i want to learn how to change the oil in my car,oil_change_how
i don t have checks so can i order some new ones,order_checks
what type of plugs are used in cambodia,plug_type
thanks for your response,thank_you
thanks,thank_you
can you get me a table for two for 8 00 pm at parc,restaurant_reservation
what insurance benefits do i have,insurance
both maybe,maybe
what s the name of this song,what_song
that s not true,no
what s up with my order,order_status
i wanna confirm my reservation for 2 20 at 8 pm,confirm_reservation
please tell me the weather forecast,weather
my bronze card is missing i would like to report it as lost,report_lost_card
can you forward this email to my boss,out_of_scope
can you tell me how to multiply two fractions,out_of_scope
we have to speak in english,change_language
could you check to see if my order has been delivered,order_status
how should i say hello in french,translate
please call toby,make_call
what will you refer to me as,user_name
what is my credit limit on my discover card,credit_limit
can i get to susan s house with my current tank,gas
go to the credit card site and check if my application has gone through,application_status
what sort of animals are your pets,do_you_have_pets
will i be safe while traveling to lyon will you be safe ,travel_alert
great chat talk to you later,goodbye
has anyone looked over my request for a day off,pto_request_status
roll a 6 sided die and tell me the result,roll_dice
i need to book a roundtrip flight from dallas to los angeles from march 2 to march 10,book_flight
how is my name saved aw,user_name
i d like to change my pin number for my savings account,pin_change
who created your ai program,who_made_you
i want to schedule car maintenance,schedule_maintenance
what landing time is scheduled for my flight,flight_status
how many prime numbers are there under 100,out_of_scope
help me get some new checks since i ran out of them,order_checks
what s your birthday,how_old_are_you
put laundry on my to do list,todo_list_update
what do i have on my calendar for monday the 1st of march,calendar
can you check my credit score for me,credit_score
would you please schedule a meeting room for 4 00 on thursday,schedule_meeting
what do i need to buy for spaghetti,ingredients_list
how many more vacation days can i use this year,pto_balance
what kind of questions are you good at answering,what_can_i_ask_you
create a timer that is set to go off after 25 mins,timer
i want you paired to my phone,sync_device
how long am i supposed to cook pork loin,cook_time
what is naval engineering,out_of_scope
how can i order more checks for my regions bank account,order_checks
blank out my todo list,todo_list_update
do i need to get any shots before i travel to south africa,vaccines
later thanks for chatting,goodbye
what do people find funny about food,tell_joke
what is status of my bank account,balance
i have to go ai goodbye,goodbye
i want you to roll dice,roll_dice
i need to put in a pto request from the 8th to the 17th of january,pto_request
i need you to tell me what time it is in new york now,time
start playing the next track,next_song
can i increase the credit limit on my maurices card,credit_limit_change
what is the smallest i can pay on the water bill,min_payment
hi there how are things,greeting
is the gang getting together this afternoon,meeting_schedule
how long should i cook steak for,cook_time
find instructions on how to play taboo,out_of_scope
what is the remaining time until we are at our destination,distance
what does my shopping list say that i should get,shopping_list
i want seventy bucks transferred from b of a to chase,transfer
do you have a nickname,what_is_your_name
leave the date of june 4 open on my calendar,calendar_update
can you tell me if you have any pets,do_you_have_pets
when was my last car service date,last_maintenance
what do you do in your spare time siri,what_are_your_hobbies
what does a flashing yellow light mean,out_of_scope
are you a real life person,are_you_a_bot
what kind of oil and how much do i need for my toyota tacoma truck and how do i do it,oil_change_how
will you create a timer for me,timer
what do i have on my list of reminders,reminder
move 57 dollars from saving into mom,transfer
try a male voice,change_accent
remind me of what i asked you to remember,reminder
no that is wrong,no
pull up my recent transactions on my mastercard,transactions
when did camus die,out_of_scope
i would prefer your voice to be male,change_accent
what is 10 to the 12th power,calculator
you need to set alarm for me,alarm
tell me the apr of my credit card,apr
my card is damaged and unusable,damaged_card
how many people died in yesterday s storm,out_of_scope
discover card reporting fraud,report_fraud
set a one minute timer,timer
how many calories are there in a scoop of chocolate ice cream,calories
show me my credit score,credit_score
what steps are involved in making lasagna,recipe
what is the amount of time i can request off in the coming year,pto_balance
tell me why am i locked out of my bank account,account_blocked
do i need jumper cables for my dead car battery,jump_start
look up easy to follow recipes for beef ribs,recipe
go passed the song now,next_song
what can i do since my car battery died,jump_start
what s the weather,weather
print out the photos i took today,out_of_scope
does ruby tuesday accept reservations,accept_reservations
i need a roundtrip flight for 5 2 to 5 8 from nyc to los angeles,book_flight
change out the older photos with the newer ones,out_of_scope
boost volume to 4,change_volume
is there a meeting room available between one and two,schedule_meeting
use your indoor voice please,whisper_mode
tell me a joke about dogs,tell_joke
what can i do to maintain good credit,improve_credit_score
what type of gas does my car use,gas_type
what size space suit should you get based on your girth,out_of_scope
get the tracking on my package,order_status
what time is it,time
change pin to 1234 on account banner,pin_change
should i cook this for a long time,cook_time
tell me how many days off you see that i have taken so far this year please,pto_used
i gotta know when should i get my oil changed next,oil_change_when
turn up your volume,change_volume
tell me about the pets you have,do_you_have_pets
which company has gone up the most today,out_of_scope
do the tires need air,tire_pressure
i need to make a bill payment,pay_bill
is there a fee if i use my card in france,international_fees
how much did my state taxes change,taxes
it appears that my luggage has vanished,lost_luggage
perhaps either of them,maybe
what does my shopping list contain,shopping_list
what is my current location that you see right now,current_location
yearly salary,income
tell me some fun activities to do in oklahoma city,travel_suggestion
flip a coin i choose heads,flip_coin
what s an interesting tidbit about rivers,fun_fact
my name is jason,change_user_name
how can i make my living room appear to be bigger than it is,out_of_scope
give me today s date,date
i didn t hear you can you repeat that louder,repeat
is 126 divisible by 8,calculator
is it safe for me to go to turkey,travel_alert
is there a room big enough for 10 people from monday to tuesday in manhattan,book_hotel
does tofu last long in the freezer before it goes bad,food_last
can i get more checks,order_checks
please place this track on my driving mix,update_playlist
block my chase account asap,freeze_account
let me know how the outback steakhouse reviews are,restaurant_reviews
i do not know,maybe
call 911,make_call
what s the nutritional info for lasagna,nutrition_info
what s a good resource to learn beginner s yoga,out_of_scope
one cup of almonds has how many calories,calories
can you look to see whether feeding the fish is on my to do list,todo_list
thanks ,thank_you
where is the closest pharmacy,directions
take me to the closest walmart,directions
how many cups are in 4 quarts,measurement_conversion
how many culver s take reservations,accept_reservations
stop synching to my phone,sync_device
alert my bank i m checking out seattle for the next month,travel_notification
plase hold my account for now,freeze_account
i wanna find a hotel with good reviews in phoenix,book_hotel
what is the calorie content in bananas,calories
do the romans still use the colosseum for anything today,out_of_scope
try it with a male voice,change_accent
i want to get a new car insurance plan,insurance_change
can you give me a american dinner suggestion,meal_suggestion
is traffic bad on the parkway,traffic
good talk see you later,goodbye
are you a real human being,are_you_a_bot
does my carrier have coverage in europe,out_of_scope
hows the air in my tires,tire_pressure
can i travel to france as far as safety goes,travel_alert
thanks for giving me assistance,thank_you
please tell me the name that you have for me,user_name
how much gas does my car currently have,gas
what things do you like to do,what_are_your_hobbies
what sort of things do you enjoy,what_are_your_hobbies
my card snapped can you tell my bank to send a replacement,damaged_card
speak arabic,change_language
can you check my reservations for mortons under david winters,confirm_reservation
why does my visa account have a hold on it,account_blocked
tell me what ingredients i will need to make this meal,ingredients_list
how can i see my rewards for my chase card,rewards_balance
tell me the expiration date for my visa card,expiration_date
what is the interesting trivia about human bodies,fun_fact
i need a timer that is set at 1 hour exactly,timer
tell me the steps as to how to begin a career as a journalist,out_of_scope
who is the coach of the chicago bulls,out_of_scope
what is the traffic like,traffic
could you increase the speaker volume please,change_volume
i need everything ordered on my shopping list,order
where is the nearest denny s to gillette stadium,directions
ai i didn t hear you,repeat
go to the next tune,next_song
tell me how to set up a direct deposit,direct_deposit
what is my remaining amount of pto days,pto_balance
what s the deal with my health care,insurance
when will my amex card reach its expiration,expiration_date
please flip a coin for me,flip_coin
how does one jump a car,jump_start
book uber from here to downtown,uber
how to fix walls,out_of_scope
what is my next day off,next_holiday
what are the time zones of russia,timezone
does my car have enough gas to get to detroit,gas
how much money have i spent recently,spending_history
whats pesos australian dollars in 20,exchange_rate
raise the volume,change_volume
who is your employer,who_do_you_work_for
help my account is blocked,account_blocked
say it again please,repeat
remove anniversary dinner from my calendar on april 5,calendar_update
change the code of my savings account to be 1234,pin_change
can you roll an eight sided die and tell me what it comes up as,roll_dice
how much is the pay offered for my work,income
what plug does colombia use,plug_type
how to plan for weddings,out_of_scope
what does my to do list consist of,todo_list
will i be charged if i use the card in australia,international_fees
set to female voice,change_accent
what s the traffic like going to central park,traffic
how many kilos are in 25 pounds,measurement_conversion
please play my taylor swift mix,play_music
please slow down i can t understand you,change_speed
how many pounds are in 10 kilos,measurement_conversion
delete the contact uncle john from my phone,out_of_scope
please play the new lady gaga song,play_music
how long do i need to make lasagne,cook_time
what is the total number of calories in this pizza,calories
could you put a stop on my bank account please,freeze_account
how many calories are in vanilla ice cream,calories
how long will it take before the postal service delivers my new card,replacement_card_duration
when will i need to change my tires again,tire_change
text matt and tell him i will be late tonight,text
i don t know for sure,maybe
are you good,greeting
can i complete an application for a new credit card,new_card
how to report bent credit card,damaged_card
how much have i been spending on booze this month,spending_history
could you be human,are_you_a_bot
make an uber reservation to the ymca center city philadelphia please,uber
has my visa card application been approved yet,application_status
did i create a task to clean the gutters on my list,todo_list
suggest a few local eateries in mid price range,restaurant_suggestion
can you find me a recipe for ribs,recipe
why do u work for them,who_do_you_work_for
search steps for how to report a card lost,report_lost_card
i want to report fraudulent activity on my visa,report_fraud
i would appreciate it if you help me turn the car on,smart_home
i want to change your name to another name,change_ai_name
i wanna know the types of subjects are you familiar with,what_can_i_ask_you
can you tell me local crime in my area,out_of_scope
what is the length of time it takes to get to phoenix,distance
you must increase your volume,change_volume
can i hurt my credit score,improve_credit_score
has my supervisor approved my vacation,pto_request_status
text roderick and tell him im running late,text
tell my bank i m going to france,travel_notification
how much do i have in savings,balance
how healthy is pizza,nutrition_info
i need you to let mr miyagi and daniel know where i am,share_location
i need to pair this with my phone,sync_device
how good are the ratings for pizza hut,restaurant_reviews
does olive garden have good customer reviews,restaurant_reviews
play the next hit,next_song
who do you take your orders from,who_do_you_work_for
how many minutes am i from texaco,distance
were you made here,where_are_you_from
does black bear diner in tracy take reservations,accept_reservations
i want to change the oil in my car,oil_change_how
send the order for my entire shopping list,order
find out how many whales are currently in monterey bay,out_of_scope
whats the name of the person who made you,who_made_you
hey,greeting
how ya doin,greeting
what are the limits in my phone plan,out_of_scope
i m pretty sure i have a fraudulent transaction on my account,report_fraud
does stanleys take brunch reservations,accept_reservations
can you let me know if it will be warm this week,weather
i need to find a black suit under 100,out_of_scope
do they take reservations at the progress,accept_reservations
how can i redeem the points i ve earned with my credit card,redeem_rewards
could you tell me the temperature of the ac,smart_home
how much do i pay in apr on my amex card,apr
turn whisper mode off,whisper_mode
clear my search history,out_of_scope
how long before i need to replace my tires,tire_change
read my entire shopping list to me,shopping_list
tell me today s weather forecast,weather
has my vacation been approved,pto_request_status
what is spanish for hello,translate
schedule an uber to the bean,uber
please tell me the routing number for my wells fargo account,routing
can you adjust the lights down,smart_home
how many more days before my verizon bill is due,bill_due
help me add this song to my country music playlist,update_playlist
help me find a new auto insurance policy,insurance_change
do i have any birthdays on my todo list,todo_list
how many planets have we discovered,out_of_scope
could you please inform me what health plan i am currently on,insurance
i want you to change the ai name,change_ai_name
i d like the lights in the garage to be turned on,smart_home
how long does it take to get a new credit card,replacement_card_duration
please block my discover account immediately,freeze_account
i need a credit raise by 1000 dollars,credit_limit_change
can you check to see if my order has been delivered,order_status
has the apr on my card changed and what is it now,apr
how little can i pay on my car bill,min_payment
what s the traffic like on the way to the water slides,traffic
where can i pick up my w2 to do my taxes,w2
how do i get to the hotel by bus,directions
how many lira can i get for 250 dollars,exchange_rate
do i still have the reservation on march 21 at 8pm,confirm_reservation
